iter	Passed	Remaining
403	9300	13720
404	9322	13695
405	9343	13669
406	9363	13642
407	9382	13613
408	9400	13584
409	9419	13554
410	9440	13529
411	9459	13500
412	9478	13471
413	9501	13449
414	9523	13424
415	9547	13403
416	9573	13384
417	9601	13368
418	9625	13346
419	9647	13322
420	9664	13292
421	9682	13262
422	9700	13231
423	9719	13203
424	9741	13180
425	9764	13156
426	9782	13127
427	9802	13100
428	9822	13074
429	9846	13051
430	9866	13025
431	9886	12999
432	9909	12976
433	9929	12949
434	9948	12921
435	9968	12894
436	9993	12875
437	10014	12849
438	10035	12824
439	10059	12803
440	10087	12786
441	10115	12770
442	10143	12753
443	10167	12731
444	10188	12707
445	10207	12679
446	10231	12657
447	10249	12628
448	10269	12601
449	10288	12574
450	10313	12554
451	10337	12533
452	10359	12508
453	10379	12482
454	10404	12462
455	10429	12442
456	10449	12416
457	10472	12393
458	10492	12366
459	10515	12344
460	10541	12325
461	10566	12304
462	10598	12292
463	10621	12270
464	10645	12248
465	10666	12222
466	10683	12193
467	10702	12166
468	10726	12144
469	10747	12119
470	10769	12095
471	10791	12071
472	10809	12043
473	10830	12019
474	10855	11997
475	10875	11972
476	10896	11947
477	10920	11925
478	10942	11901
479	10962	11876
480	10985	11853
481	11009	11832
482	11035	11811
483	11063	11795
484	11091	11777
485	11119	11760
486	11142	11737
487	11164	11713
488	11186	11690
489	11207	11664
490	11228	11640
491	11251	11617
492	11273	11593
493	11295	11569
494	11316	11545
495	11335	11518
496	11356	11493
497	11379	11470
498	11401	11446
499	11422	11422
500	11440	11394
501	11473	11382
502	11506	11369
503	11533	11350
504	11556	11327
505	11585	11310
506	11613	11293
507	11635	11269
508	11656	11243
509	11674	11216
510	11691	11188
511	11714	11165
512	11735	11141
513	11756	11116
514	11779	11093
515	11801	11069
516	11820	11042
517	11838	11015
518	11859	10991
519	11880	10966
520	11899	10940
521	11921	10916
522	11943	10893
523	11967	10871
524	11993	10850
525	12043	10852
526	12073	10836
527	12146	10858
528	12195	10858
529	12231	10847
530	12261	10829
531	12290	10812
532	12323	10797
533	12357	10783
534	12387	10766
535	12419	10751
536	12444	10729
537	12463	10703
538	12490	10682
539	12515	10661
540	12548	10646
541	12577	10628
542	12603	10607
543	12628	10585
544	12649	10560
545	12672	10537
546	12694	10512
547	12716	10488
548	12743	10468
549	12763	10442
550	12783	10416
551	12804	10392
552	12823	10365
553	12841	10338
554	12861	10312
555	12878	10284
556	12899	10259
557	12920	10234
558	12938	10207
559	12962	10185
560	12986	10162
561	13013	10142
562	13040	10121
563	13064	10099
564	13092	10080
565	13117	10058
566	13138	10033
567	13159	10008
568	13178	9982
569	13199	9957
570	13219	9932
571	13236	9904
572	13253	9876
573	13274	9851
574	13292	9825
575	13313	9800
576	13333	9774
577	13357	9752
578	13378	9727
579	13403	9706
580	13423	9680
581	13444	9655
582	13473	9637
583	13497	9614
584	13521	9591
585	13553	9575
586	13582	9556
587	13608	9534
588	13630	9511
589	13652	9487
590	13672	9461
591	13699	9441
592	13725	9420
593	13743	9394
594	13765	9369
595	13783	9343
596	13802	9317
597	13821	9291
598	13838	9264
599	13857	9238
600	13878	9213
601	13902	9191
602	13924	9167
603	13950	9146
604	13977	9125
605	14006	9106
606	14039	9089
607	14070	9071
608	14100	9052
609	14122	9029
610	14142	9004
611	14169	8983
612	14191	8959
613	14216	8937
614	14236	8912
615	14256	8887
616	14276	8862
617	14300	8839
618	14322	8815
619	14344	8792
620	14363	8766
621	14385	8742
622	14406	8718
623	14434	8697
624	14457	8674
625	14487	8655
626	14518	8637
627	14545	8616
628	14574	8596
629	14605	8578
630	14631	8556
631	14649	8530
632	14671	8506
633	14689	8480
634	14712	8456
635	14733	8432
636	14752	8406
637	14771	8381
638	14789	8355
639	14812	8331
640	14834	8308
641	14854	8283
642	14872	8257
643	14893	8232
644	14914	8208
645	14940	8187
646	14965	8164
647	14992	8144
648	15021	8124
649	15044	8101
650	15068	8078
651	15093	8055
652	15111	8030
653	15130	8004
654	15149	7979
655	15166	7953
656	15184	7927
657	15201	7901
658	15218	7874
659	15236	7849
660	15256	7824
661	15274	7798
662	15294	7774
663	15314	7749
664	15334	7724
665	15355	7700
666	15376	7676
667	15398	7653
668	15418	7628
669	15440	7604
670	15468	7584
671	15493	7562
672	15517	7539
