iter	Logloss
234	0.4504090627
235	0.4504008054
236	0.4503910446
237	0.4503845443
238	0.4503779535
239	0.4503722574
240	0.450368602
241	0.4503614636
242	0.4503510611
243	0.4503411427
244	0.450332906
245	0.4503248741
246	0.4503192028
247	0.4503157592
248	0.4503053818
249	0.4502971565
250	0.4502902154
251	0.4502725338
252	0.4502660698
253	0.4502605494
254	0.4502573998
255	0.4502497582
256	0.4502419746
257	0.4502385235
258	0.4502349937
259	0.4502297717
260	0.4502237825
261	0.4502112018
262	0.4502084005
263	0.4502015245
264	0.4501961033
265	0.4501913718
266	0.450182845
267	0.4501751699
268	0.4501672031
269	0.4501607786
270	0.4501528402
271	0.4501460531
272	0.4501378492
273	0.4501337275
274	0.4501290071
275	0.4501208606
276	0.450111885
277	0.4501051948
278	0.4501004668
279	0.450094136
280	0.4500877257
281	0.4500816526
282	0.4500780365
283	0.4500705029
284	0.4500597092
285	0.4500528397
286	0.4500466015
287	0.4500394225
288	0.450036987
289	0.4500209917
290	0.4500137493
291	0.4500074969
292	0.4500021218
293	0.4499978711
294	0.4499918477
295	0.4499839816
296	0.4499815063
297	0.4499736935
298	0.44996874
299	0.4499622368
300	0.4499577245
301	0.4499512067
302	0.4499439288
303	0.4499352121
304	0.4499313131
305	0.4499236261
306	0.4499151534
307	0.4499083801
308	0.4499049402
309	0.4498982276
310	0.4498929975
311	0.4498853535
312	0.4498836642
313	0.4498721672
314	0.4498628265
315	0.4498559878
316	0.4498473714
317	0.4498454954
318	0.4498378297
319	0.4498338589
320	0.4498317499
321	0.4498247082
322	0.4498212
323	0.4498142309
324	0.4498112282
325	0.4498054866
326	0.4498020464
327	0.4497963937
328	0.4497915655
329	0.4497867088
330	0.4497795989
331	0.4497739095
332	0.4497687291
333	0.4497636715
334	0.4497570496
335	0.4497540468
336	0.4497501337
337	0.4497457717
338	0.4497412699
339	0.4497380056
340	0.4497331736
341	0.4497302603
342	0.4497280364
343	0.4497251233
344	0.4497222058
345	0.4497192785
346	0.4497158095
347	0.4497136609
348	0.4497046106
349	0.4496992766
350	0.449692967
351	0.449691403
352	0.4496880886
353	0.4496848176
354	0.4496780554
355	0.4496738692
356	0.449671563
357	0.4496651062
358	0.4496592663
359	0.4496528395
360	0.4496468133
361	0.44964328
362	0.449640008
363	0.4496344587
364	0.4496304212
365	0.4496228699
366	0.4496201294
367	0.4496193042
368	0.4496120044
369	0.4496109821
370	0.4496072672
371	0.4495979275
372	0.4495932532
373	0.449591621
374	0.449583446
375	0.4495780654
376	0.4495712386
377	0.4495695527
378	0.4495681432
379	0.4495672106
380	0.4495606068
381	0.4495571379
382	0.4495526105
383	0.4495496764
384	0.449548378
385	0.449537419
386	0.4495324403
387	0.4495288642
388	0.4495196663
389	0.4495150854
390	0.4495074665
391	0.4495046549
392	0.4495016956
393	0.4494969714
394	0.4494932622
395	0.4494924011
396	0.4494876193
397	0.4494829197
398	0.4494810394
399	0.4494796798
400	0.4494770908
401	0.4494739591
402	0.449471886
403	0.4494697266
404	0.4494665446
405	0.4494629826
406	0.4494573366
407	0.4494547145
408	0.4494459475
409	0.4494425358
410	0.4494401107
411	0.4494364912
412	0.4494341739
413	0.4494303861
414	0.449427337
415	0.4494241476
416	0.449421146
417	0.4494143518
418	0.4494076216
419	0.449405549
420	0.4494031994
421	0.4493978516
422	0.4493944975
423	0.4493925755
424	0.4493896659
425	0.4493856771
426	0.4493817144
427	0.4493792716
428	0.4493754296
429	0.4493710139
430	0.4493670537
431	0.4493617555
432	0.4493563712
433	0.4493534832
434	0.4493512943
435	0.4493485558
436	0.4493460054
437	0.4493418012
438	0.4493404346
439	0.4493363239
440	0.4493335977
441	0.4493311157
442	0.4493269902
443	0.4493183416
444	0.4493095052
445	0.4493077188
446	0.4493034536
447	0.4492979438
448	0.4492955006
449	0.4492923761
450	0.4492885885
451	0.4492859387
452	0.4492808512
453	0.4492792585
454	0.4492747566
455	0.4492699137
456	0.4492657133
457	0.4492627465
458	0.4492607914
459	0.4492571217
460	0.4492551237
461	0.4492545138
462	0.4492491654
463	0.4492462236
464	0.4492419265
465	0.4492416539
466	0.4492409576
467	0.4492359359
468	0.449232715
469	0.4492278435
470	0.4492230763
471	0.4492197616
472	0.4492151518
473	0.4492084439
474	0.4492049499
475	0.4492007214
476	0.4491975288
477	0.4491958251
478	0.449195255
479	0.4491935115
480	0.4491910077
481	0.4491871817
482	0.4491839862
483	0.4491816186
484	0.4491785411
485	0.4491756103
486	0.4491734688
487	0.4491699391
488	0.4491665493
489	0.4491623847
490	0.4491582274
491	0.4491520109
492	0.4491494283
493	0.4491426557
494	0.4491337921
495	0.4491285378
496	0.4491280208
497	0.4491244804
498	0.4491204017
499	0.449114594
500	0.4491137041
501	0.4491111356
502	0.4491087861
503	0.4491061135
504	0.4491043701
505	0.4491020569
506	0.44909871
507	0.4490972325
508	0.449090266
509	0.449086308
510	0.4490797846
511	0.4490810974
512	0.4490796952
513	0.4490764811
514	0.4490697267
515	0.4490682416
516	0.4490630903
517	0.4490562926
518	0.4490545761
519	0.4490536459
520	0.4490513386
521	0.4490483577
522	0.4490471095
523	0.449043038
524	0.4490429125
525	0.4490416388
526	0.4490400571
527	0.4490364055
528	0.4490350209
529	0.4490318751
530	0.4490287542
531	0.4490262358
532	0.4490221464
533	0.4490181539
534	0.449014305
535	0.4490108791
536	0.4490045468
537	0.4490015982
538	0.4489994819
539	0.4489962284
540	0.44899214
541	0.4489882729
542	0.44898578
543	0.4489822576
544	0.4489823327
545	0.4489815794
546	0.4489778881
547	0.4489758758
548	0.4489737735
549	0.4489706457
550	0.4489708357
551	0.4489698242
552	0.4489641848
553	0.4489598802
554	0.4489585172
555	0.4489533806
556	0.4489528751
557	0.4489505184
558	0.4489482442
559	0.4489436058
560	0.448942178
561	0.4489393153
562	0.4489360438
563	0.4489324692
564	0.4489257469
565	0.4489220627
566	0.4489209363
567	0.4489205062
568	0.4489184112
569	0.4489164886
570	0.44891533
571	0.448912722
572	0.4489105085
573	0.4489075667
574	0.4489052457
575	0.4489026882
576	0.4489014327
577	0.4488987781
578	0.4488977053
579	0.4488954274
580	0.4488935118
581	0.4488899923
582	0.4488887594
583	0.4488869514
584	0.448885617
585	0.4488823916
586	0.4488806339
587	0.448876455
588	0.4488760965
589	0.4488749048
590	0.4488737641
591	0.4488690077
592	0.4488660733
593	0.4488633295
594	0.4488613278
595	0.4488582185
596	0.4488560877
597	0.4488541077
598	0.4488527892
599	0.4488494066
600	0.448844338
601	0.4488438573
602	0.4488416404
603	0.4488388758
604	0.4488371861
605	0.4488331147
606	0.4488318843
607	0.4488295491
608	0.4488297787
609	0.4488277485
610	0.4488249574
611	0.4488229163
612	0.4488162323
613	0.4488147866
614	0.4488122666
615	0.4488102254
616	0.448805702
617	0.4488021902
618	0.4488010136
619	0.4487952025
620	0.44878876
621	0.4487855997
622	0.448782963
623	0.4487782494
624	0.4487768468
625	0.448775547
626	0.4487749372
627	0.4487716298
628	0.4487732184
629	0.4487691474
630	0.4487683116
631	0.4487656014
632	0.448761634
633	0.4487596468
634	0.44875715
635	0.448754937
636	0.4487534376
637	0.4487515794
638	0.448749016
639	0.4487470113
640	0.4487451064
641	0.4487408055
642	0.4487403035
643	0.4487393027
644	0.4487382983
645	0.4487356259
646	0.4487354215
647	0.4487312426
648	0.44872819
649	0.4487269023
650	0.4487265724
651	0.4487242479
652	0.4487234511
653	0.4487181877
654	0.4487172659
655	0.4487150705
656	0.4487137243
657	0.4487117765
658	0.4487103633
659	0.4487069052
660	0.4487038989
661	0.4487007955
662	0.448694866
663	0.4486932841
664	0.448687767
665	0.4486865654
666	0.4486836176
667	0.4486815156
668	0.4486787895
669	0.4486782012
670	0.4486768844
671	0.4486735053
672	0.4486738534
673	0.4486709155
674	0.4486676119
675	0.4486654164
676	0.4486609971
677	0.4486565478
678	0.4486534018
679	0.4486496137
680	0.448645905
681	0.4486447639
682	0.4486424287
683	0.4486392398
684	0.448638031
685	0.4486373961
686	0.4486341892
687	0.4486296326
688	0.4486265512
689	0.4486227991
690	0.4486228925
691	0.4486210772
692	0.4486212027
693	0.4486160337
694	0.4486112164
695	0.4486103053
696	0.4486075505
697	0.4486061767
698	0.4486055814
699	0.4486054915
700	0.4486032423
701	0.448601047
702	0.4486010398
703	0.4486008843
704	0.4485987733
705	0.4485957026
706	0.4485932058
707	0.4485897766
708	0.4485893461
709	0.4485883881
710	0.4485865585
711	0.4485857227
712	0.4485844457
713	0.4485835954
714	0.4485805529
715	0.448577895
716	0.4485767614
717	0.4485729622
718	0.4485694364
719	0.4485641285
720	0.4485624386
721	0.4485606451
722	0.4485574998
723	0.4485534316
724	0.4485519963
725	0.4485490726
726	0.4485503375
727	0.4485488813
728	0.4485475289
729	0.4485423921
730	0.4485400753
731	0.448539118
732	0.4485378015
733	0.4485371381
734	0.4485349392
735	0.4485331492
736	0.4485316083
737	0.4485298147
738	0.4485285555
739	0.4485265862
740	0.4485258765
741	0.4485201642
742	0.4485189913
743	0.4485159746
744	0.4485163545
745	0.4485162684
746	0.4485153429
747	0.4485137501
748	0.448512631
749	0.4485114975
750	0.4485104896
751	0.4485080719
752	0.4485051305
753	0.4485030966
754	0.4485012491
755	0.4485005102
756	0.448500503
757	0.4484974618
758	0.4484954853
759	0.4484944988
760	0.4484923754
761	0.4484918659
762	0.4484911593
763	0.4484890932
764	0.4484881785
765	0.4484867652
766	0.4484830741
767	0.4484817254
768	0.4484806132
769	0.4484805197
770	0.4484774315
771	0.4484756989
772	0.4484743573
773	0.4484719182
774	0.4484708133
775	0.4484706914
776	0.448467219
777	0.4484663437
778	0.4484636137
779	0.448461958
780	0.4484607959
781	0.4484585898
782	0.4484569505
783	0.4484544537
784	0.4484531122
785	0.4484516306
786	0.4484517956
787	0.4484501305
788	0.4484487854
789	0.4484467443
790	0.4484449471
791	0.4484452269
792	0.4484448683
793	0.4484412238
794	0.4484400938
795	0.4484399647
796	0.4484379021
797	0.4484371525
798	0.4484360331
799	0.4484348171
800	0.4484346952
801	0.448433924
802	0.4484329698
803	0.4484325465
804	0.4484314883
805	0.4484272591
806	0.4484266708
807	0.4484244361
808	0.4484229152
809	0.4484211432
810	0.4484175427
811	0.4484162764
812	0.4484143762
813	0.4484134077
814	0.4484114913
815	0.4484093121
816	0.4484085121
817	0.4484087203
818	0.4484081175
819	0.4484051977
820	0.4484048031
821	0.4484032571
822	0.4483999067
823	0.448394196
824	0.4483928293
825	0.4483904582
826	0.448389604
827	0.4483878685
828	0.4483874845
829	0.4483853394
830	0.4483807011
831	0.4483800877
832	0.4483770679
833	0.4483760311
834	0.4483758877
835	0.448373348
836	0.4483717122
837	0.4483704567
838	0.4483670741
839	0.4483667944
840	0.4483645992
841	0.4483630746
842	0.448363157
843	0.4483598636
844	0.4483588951
845	0.448357245
846	0.4483564988
847	0.4483551609
848	0.4483534497
849	0.4483518858
850	0.4483513333
851	0.4483493782
852	0.4483484923
853	0.448347556
854	0.4483476887
855	0.4483442988
856	0.4483408334
857	0.4483399295
858	0.4483377601
859	0.4483348538
860	0.4483350941
861	0.4483299036
862	0.4483282211
863	0.4483267899
864	0.4483252762
865	0.4483245982
866	0.4483220262
867	0.4483205474
868	0.4483189619
869	0.4483186786
870	0.4483179362
871	0.4483160695
872	0.4483149073
873	0.4483136554
874	0.4483132214
875	0.4483090029
876	0.4483066642
877	0.4483056052
878	0.4482985784
879	0.4482954504
880	0.4482940407
881	0.4482935028
882	0.4482919535
883	0.448291021
884	0.448289775
885	0.4482890539
886	0.4482887423
887	0.4482862816
888	0.448285392
889	0.4482838736
890	0.4482820298
891	0.4482778186
892	0.4482763838
893	0.4482747194
894	0.4482743825
895	0.4482739125
896	0.4482726066
897	0.4482721905
898	0.4482714228
899	0.4482706086
900	0.4482707592
901	0.4482676492
902	0.4482676133
903	0.4482600266
904	0.4482592191
905	0.448257777
906	0.448254954
907	0.4482530206
908	0.4482529016
909	0.4482501691
910	0.4482486554
911	0.4482471489
912	0.4482452987
913	0.448244574
914	0.4482428271
915	0.4482385728
916	0.4482386768
917	0.4482381495
918	0.4482351364
919	0.4482330951
920	0.4482299995
921	0.4482282561
922	0.4482256194
923	0.4482231423
924	0.4482234968
925	0.4482226794
926	0.4482190349
927	0.4482177686
928	0.4482171302
929	0.4482146595
930	0.4482140389
931	0.448212213
932	0.4482106085
933	0.4482092416
934	0.4482079499
935	0.4482080575
936	0.4482060749
937	0.4482045898
938	0.4482035568
939	0.4482038904
940	0.4482032196
941	0.4481991372
942	0.4481971607
943	0.4481928956
944	0.4481928239
945	0.448191188
946	0.448188286
947	0.4481842361
948	0.4481826684
949	0.4481820048
950	0.4481813018
951	0.448181492
952	0.4481799389
953	0.4481795516
954	0.4481785368
955	0.4481779557
956	0.4481765496
957	0.4481749139
958	0.4481735975
959	0.4481713663
960	0.4481698383
961	0.4481690778
962	0.4481650244
963	0.4481629724
964	0.448163306
965	0.4481624629
966	0.4481611034
967	0.4481569244
968	0.4481562968
969	0.448155192
970	0.4481538396
971	0.4481533016
972	0.4481525483
973	0.4481512139
974	0.4481512857
975	0.4481494777
976	0.4481479209
977	0.4481472778
978	0.4481482692
979	0.4481465003
980	0.4481441866
981	0.4481435158
982	0.4481384187
983	0.4481372094
984	0.4481364489
985	0.4481342746
986	0.4481332523
987	0.4481314444
988	0.4481299057
989	0.4481274918
990	0.4481273452
991	0.4481254619
992	0.4481253001
993	0.448123112
994	0.4481216915
995	0.4481196361
996	0.4481195464
997	0.4481195213
998	0.4481160258
999	0.448114738
